Date,Open,High,Low,Close,Adj Close,Volume
2022-05-24,3315.14990234375,3324.85009765625,3275.60009765625,3288.0,3107.552001953125,1711510
2022-05-25,3292.85009765625,3292.85009765625,3154.050048828125,3167.64990234375,3013.97314453125,3548046
2022-05-26,3191.0,3241.5,3180.550048828125,3226.949951171875,3070.396240234375,2813186
2022-05-27,3253.199951171875,3278.89990234375,3229.199951171875,3261.300048828125,3103.080322265625,3103153
2022-05-30,3297.0,3386.60009765625,3286.35009765625,3375.25,3211.501708984375,2094624
2022-05-31,3354.14990234375,3383.39990234375,3325.0,3364.35009765625,3201.130615234375,4840965
2022-06-01,3388.0,3388.0,3340.050048828125,3355.199951171875,3192.42431640625,1493835
2022-06-02,3355.0,3432.0,3346.300048828125,3423.0,3256.93505859375,2657939
2022-06-03,3459.39990234375,3477.300048828125,3431.199951171875,3440.14990234375,3273.253173828125,1913622
2022-06-06,3418.0,3453.0,3377.14990234375,3430.949951171875,3264.49951171875,1084210
2022-06-07,3401.050048828125,3418.85009765625,3356.0,3362.699951171875,3199.560546875,2308256
2022-06-08,3380.14990234375,3413.949951171875,3346.5,3404.14990234375,3238.999755859375,2185707
2022-06-09,3385.0,3437.0,3353.10009765625,3427.10009765625,3260.836669921875,1279197
2022-06-10,3382.0,3393.0,3352.0,3359.89990234375,3196.896240234375,1527582
2022-06-13,3290.0,3293.0,3192.449951171875,3219.60009765625,3063.403076171875,3030921
2022-06-14,3190.0,3238.89990234375,3174.699951171875,3210.550048828125,3054.79248046875,2611493
2022-06-15,3218.5,3234.0,3201.0,3206.300048828125,3050.748779296875,1404536
2022-06-16,3240.0,3244.85009765625,3133.050048828125,3142.0,2989.56787109375,2032028
2022-06-17,3092.0,3118.75,3023.85009765625,3088.89990234375,2939.043701171875,5240434
2022-06-20,3094.0,3138.75,3069.0,3112.39990234375,2961.403564453125,1502769
2022-06-21,3130.0,3237.75,3125.39990234375,3211.949951171875,3056.1240234375,2964461
2022-06-22,3199.89990234375,3250.550048828125,3183.0,3222.949951171875,3066.59033203125,3336315
2022-06-23,3222.949951171875,3318.0,3222.949951171875,3308.800048828125,3148.27587890625,3692578
2022-06-24,3339.0,3345.0,3277.5,3293.10009765625,3133.337158203125,2132118
2022-06-27,3350.0,3362.89990234375,3306.5,3314.699951171875,3153.88916015625,2037686
2022-06-28,3307.0,3330.0,3272.60009765625,3318.14990234375,3157.171875,1400046
2022-06-29,3271.0,3333.0,3271.0,3290.5,3130.863037109375,2133994
2022-06-30,3272.0,3310.89990234375,3255.0,3267.10009765625,3108.598388671875,2719603
2022-07-01,3260.0,3333.0,3252.050048828125,3315.10009765625,3154.270263671875,1502879
2022-07-04,3312.0,3317.949951171875,3225.050048828125,3235.050048828125,3078.103271484375,2622535
2022-07-05,3255.0,3272.0,3206.949951171875,3216.300048828125,3060.26318359375,2170627
2022-07-06,3218.5,3268.5,3202.25,3260.75,3102.556640625,2182144
2022-07-07,3271.0,3319.39990234375,3265.050048828125,3287.85009765625,3128.342041015625,1989921
2022-07-08,3300.0,3305.0,3250.0,3265.449951171875,3107.028564453125,2136916
2022-07-11,3206.14990234375,3225.0,3106.0,3113.800048828125,2962.736083984375,6974600
2022-07-12,3114.89990234375,3136.199951171875,3080.25,3084.699951171875,2935.04736328125,3734815
2022-07-13,3104.0,3110.0,3035.0,3038.75,2891.326904296875,3863530
2022-07-14,3056.0,3057.0,2967.0,2998.75,2860.798828125,4764908
2022-07-15,3018.550048828125,3028.89990234375,2953.0,2994.60009765625,2856.840087890625,4574806
2022-07-18,3023.0,3076.949951171875,3014.300048828125,3063.5,2922.5703125,3202795
2022-07-19,3030.050048828125,3078.949951171875,3030.050048828125,3074.25,2932.825927734375,1865074
2022-07-20,3107.800048828125,3171.949951171875,3098.050048828125,3164.800048828125,3019.210205078125,3402251
2022-07-21,3167.0,3184.0,3144.050048828125,3177.300048828125,3031.135009765625,2420640
2022-07-22,3185.0,3197.0,3143.5,3171.0,3025.125,2075886
2022-07-25,3165.0,3186.449951171875,3149.10009765625,3166.75,3021.070556640625,1797504
2022-07-26,3164.699951171875,3168.89990234375,3096.5,3115.89990234375,2972.559814453125,2639367
2022-07-27,3115.0,3194.10009765625,3110.0,3188.85009765625,3042.154052734375,1389808
2022-07-28,3216.0,3264.0,3201.64990234375,3260.5,3110.5078125,2106333
2022-07-29,3290.0,3317.300048828125,3275.0,3301.89990234375,3150.002685546875,2430257
2022-08-01,3327.0,3327.0,3271.0,3298.800048828125,3147.045654296875,1306913
2022-08-02,3290.0,3312.89990234375,3271.64990234375,3291.800048828125,3140.367919921875,1269114
2022-08-03,3280.0,3349.0,3277.050048828125,3339.5,3185.87353515625,2895824
2022-08-04,3350.0,3387.89990234375,3307.35009765625,3354.949951171875,3200.61328125,2150567
2022-08-05,3361.199951171875,3377.0,3355.0,3365.050048828125,3210.248291015625,1106933
2022-08-08,3365.0,3378.89990234375,3336.0,3374.449951171875,3219.2158203125,1068836
2022-08-10,3385.0,3385.0,3335.0,3354.25,3199.945068359375,1878359
2022-08-11,3400.0,3428.699951171875,3375.050048828125,3422.5,3265.05517578125,1449248
